merchant_name,category
SinghServiceCentre,Housing
KRISHNA VAIBHAVA,Food & Grocery
LANDMARK INSURANCE BROKERS PRIVATE LIMITED,Finance
PAYPAL *ABHIBUSSERV,Travel
Edge Institute for financial studies,Education
Parsh Tax Solutions LLP,Finance
CS Trade Link Pvt. Ltd.,Ecommerce & Shopping
MWYN Tech Private Limited,Organization
NALANDA ESTATES PVT LTD,Housing
BURGER KING INDIA PVT,Food & Grocery
SCRN Technologies LLP,Organization
CAFE COFFEE DAY,Food & Grocery
BHAGINI RESTAURANT,Food & Grocery
AUTO AID CENTRE HPCL,Travel
COUNTY HOTEL AND RESOR,Travel
NRS Group,Housing
NET MOVIE PLAY,Entertainment
PAYSENSE SERVICES INDI,Finance
EMMAR FUEL PARK,Travel
AGAM IMPEX,Business Activity
glassesshop,Ecommerce & Shopping
AVM FUELS,Travel
HPCL J K PETROLEUM,Travel
Maharashtra Consumer Disputes Redressal Commission,Government Organization
MERWANS CAKE STOP,Food & Grocery
PRANAV SERVICE,Travel
JRG FINCORP L Ernakula,Finance
Ixigo,Travel
KARNATAKA EXAMINATIONS AUTHORITY UG CET,Education
Aliens Art Pvt. Ltd,Business Activity
EastFx Media Communication India Private Limited,Entertainment
RoboGenius Learning Solutions Limited,Education
XEAM VENTURES PRIVATE LIMITED,Organization
HOTEL PRASAD,Travel
NARAYANA JUNIOR COLLEG,Education
Bono Sleep Pvt. Ltd.,Ecommerce & Shopping
COMSOL Multiphysics Pvt Ltd,Organization
Fly For Holidays India Pvt Ltd,Travel
SUN LEASING LIMITED,Business Activity
Kreditin Private Limite,Business Activity
SREE SAI VEERA,Travel
MARUTHI ENTERPRISES,Ecommerce & Shopping
GOKULA SERVICE,Housing
BASWESWARA ENT,Health & Fitness
RASHMI AUTO,Travel
chlorophyll brand & communications consultancy,Organization
SMPOORNA SUPER,Other
Paynimo Mutual Funds,Finance
Gokul Revri Shop,Food & Grocery
VRISHABHADRI,Travel
VAMSHI GAS AND PETRO S,Bills
COTTON WORLD,Ecommerce & Shopping
Party A La Carte,Entertainment
SAMRAT WINES,Food & Grocery
LOHGARH FUELS,Travel
MCDONALDS-MUMBAI MARKET CMumbai,Food & Grocery
Nykaa ERetail Pvt Ltd,Ecommerce & Shopping
VISHAL WINES,Food & Grocery
Anamika,Ecommerce & Shopping
MAINLAND CHINA,Food & Grocery
gotinder.com/help,Other
BHARAT SERVICE CENTRE,Travel
Ezee Pay Services Private Limited,Finance
AAKASH BROTHERS,Travel
Havells India Ltd,Ecommerce & Shopping
HPCL EKVIRA AUTOMOBILE,Travel
MSW*OLIVE BAR AND KITC,Food & Grocery
Hotelivate Private Limited,Travel
LALITHAA JEWELLERY MAR,Ecommerce & Shopping
Kitchen Fragrances India LLP,Food & Grocery
APNA BAZAR,Food & Grocery
LELOBABA,Ecommerce & Shopping
SKECHERS,Ecommerce & Shopping
SANT TUKARAM PETROLEUM,Travel
CHANDANA,Health & Fitness
DMART Badlapur,Other
Rajkara  singh tour and travels,Travel
GO COLORS,Ecommerce & Shopping
KETTO,Social Work
Woof Basket,Food & Grocery
CRC Agro Marketing,Food & Grocery
DMART VASNA,Other
Precious Gifts,Ecommerce & Shopping
DPS Society DPS Dwarka,Education
Greater Chennai corporation,Government Organization
SHARMA BROTHERS,Other
TORRENTPOWER,Bills
Only Coffee India Pvt Ltd,Food & Grocery
Cake Shop In Pune,Food & Grocery
One97 Communications LimiDelhi,Other
UDUPI VAIBHAV,Food & Grocery
Swag Shirts,Ecommerce & Shopping
DREAMZ MALL,Other
PARK VIEW SERVICE STAT,Travel
CHEMCON,Education
Falabs,Ecommerce & Shopping
TISSER ATELIERS LLP,Ecommerce & Shopping
Eicher Goodearth,Travel
AL BEK,Food & Grocery
BRINDAVAN WINES,Food & Grocery
eazypay,Finance
K B PETROLEUM,Travel
LOKHANDWALLA,Other
MAALAV ENTERPRISES,Business Activity
KHUSHBOO WINES,Food & Grocery
INDIABULLS CONSUMER FI,Finance
AUTO CENTRE,Housing
Glued Entertainment Pvt Ltd,Entertainment
Sunil Dhaul,Organization
Slimtrip,Travel
Krasa,Housing
Citrusp*kotak,Other
SRI GOURI SHANKAR WINE,Food & Grocery
Vikram Uberoi,Ecommerce & Shopping
KAMALA ENTERPRISES,Bills
HPCL SRI MURUGAN AGENC,Travel
Eat Travel Splurge,Ecommerce & Shopping
KASAT PETROLEUM,Travel
SRI BALAJI,Food & Grocery
ARNIT RETAIL PRIVATE LIMITED,Ecommerce & Shopping
Himalaya Rudraksha Anusandhan Kendra,Ecommerce & Shopping
SPYKAR JEANS,Ecommerce & Shopping
ENGLISH WINE,Food & Grocery
SP ASHWANTH AGENCI,Travel
YADAV SERVICE STATION,Travel
AVENUE SUPERMARTS LTD-D,Other
ORIFLAME INDIA PRIVATE,Ecommerce & Shopping
RS Jewels,Ecommerce & Shopping
S I SALES PROMOTIONS P,Business Activity
NN AND SONS FUEL STATI,Travel
Dream11 Fantasy Privat,Entertainment
KFC SAPPHIRE INORBIT M,Food & Grocery
AlishanKraft,Ecommerce & Shopping
MASIH AUTOMOBILES,Travel
HP CENTRE MOTINAGAR,Housing
BuyCurry,Food & Grocery
POOJARY HOTEL SHUBH SAGARBANGALORE,Food & Grocery
LENSKART SOLUTIONS PRIVATE LIMITED,Ecommerce & Shopping
AUM PETROLEUMS,Travel
THE PIZZA BAKERY,Food & Grocery
ZEE ENTERTAINMENT ENTE,Entertainment
Imperativ Hospitality Pvt Ltd bloomrooms USD,Travel
HPCL MSHSD SERVICE CENT,Travel
LIVE TUTOR SOLUTIONS PRIVATE LIMITED,Education
KES SHROFF COLLEGE,Education
RAJYOG PETROLEUM,Travel
Tanjore Oviyam,Ecommerce & Shopping
IRCTC App,Travel
Nemichand Jewels,Ecommerce & Shopping
HPCL KUNDAN LAL FILLING,Travel
Impact Guru Technology Ventures Pvt Ltd,Finance
India MART,Ecommerce & Shopping
Jio Payments Bank Ltd,Finance
KAL BHAIRAM SNACKS CENT,Food & Grocery
Mandakini Food & Beverages,Food & Grocery
COLUMBIA ASIA,Health & Fitness
ENERGY FILLING STATION,Travel
INDITALE,Ecommerce & Shopping
Selltog Online Private Limited,Ecommerce & Shopping
ANUSHKA PETROLEUM,Travel
HUNGRY JACKS BAKERS,Food & Grocery
Jay Vishwakarma Prints LLP,Ecommerce & Shopping
S Vikas and company,Ecommerce & Shopping
MELLONCARDS.COM,Other
EVER FINE SUPER MARKET,Food & Grocery
SHUBHAM AUTO SERVICES,Travel
DMART Hennur Bangalore,Other
PANCHSHEEL AUTOMOBILES,Business Activity
PAYPAL *DUNZO,Business Activity
AISHWARYAS LIQUOR BOUT,Food & Grocery
DaDreamShop,Ecommerce & Shopping
Badri Design,Ecommerce & Shopping
Freelancer.com,Business Activity
DDA,Government Organization
Leapup Edutech Private Limited,Education
CCAVENUE RETAIL,Other
R K SERVICE,Travel
Memcorp Learning and performance solutions LLP,Education
IOCL COCO MORAIYA,Travel
Sulekha Com new media pvt ltd,Ecommerce & Shopping
Hiren Bharatbhai Limbad,Education
GOLDEN GOAL,Entertainment
DGVCL,Bills
MADHU IT JUNCTION,Ecommerce & Shopping
NOVEL FUEL STATION,Travel
GOPI SERVICE STATION,Travel
SURAT FABRICS,Ecommerce & Shopping
Branch International,Finance
ITHAKA ENTERPRISES,Travel
Maha Bazaar,Other
ZoomCar India Private,Travel
DMART Shanat Nagar,Other
BP COCO,Travel
sreshte,Food & Grocery
Cheaper bazaar,Ecommerce & Shopping
SATGURU AUTOMOBILES,Housing
SHREYOSHIS TOURS AND TRAVELS,Travel
The Life Sports,Entertainment
GLOBAL KITCHENS BENGAL,Food & Grocery
ifpgujaratIndSBIePay,Government Organization
EPAISA SERVICES PRIVATE LIMITED,Business Activity
SARASWATI AUTO SERVICE,Housing
OLX India Private Ltd,Ecommerce & Shopping
MANISH WINES,Food & Grocery
jasco handicrafts Pvt Ltd,Ecommerce & Shopping
Mandovi Motors Pvt Ltd,Business Activity
IDEAL SERVICE,Business Activity
Neter Homes Private Limited,Business Activity
BHUVITEJA ENTERPRISES,Travel
MITALI SERVICE,Housing
HATHWAY CABLE AND DATA,Bills
PANCHAMUKHI FUEL STATI,Travel
RADIANT PETROLEUM PROD,Travel
EBIX TRAVELS PRIVATE LIMITED,Travel
BRIGHTWAY FUEL STATION,Travel
BillJunction,Business Activity
SMARTBIKE MOBILITY,Travel
BASTIAN HOSPITALITY PR,Food & Grocery
TRS T10 SHA BLR,Ecommerce & Shopping
KAVERI SERVICE,Travel
HPCL AUTO CARE CENTER_1,Travel
muthnet TPSL,Finance
CHANDRESHWAR,Other
STUFFBAZAAR,Ecommerce & Shopping
Krishna Mangalam Foodworks LLP,Food & Grocery
SEVEN SEAS,Health & Fitness
DMART Kalyani Nagar,Other
GMR HYDERABAD INTERNATIONHYDERABAD,Other
ADARSH SERVICE STATION,Travel
MANI PETROLEUM AGENCY,Travel
INDIAN OIL CORPORATION LTmumbai,Travel
Ms Reach World Wide,Social Work
PAN INTERNATIONAL,Ecommerce & Shopping
SupportSages Consultancy Services Pvt Ltd,Organization
Darsh Enterprises,Ecommerce & Shopping
RummyCircle com,Entertainment
ALL IN MERCHANDISE,Ecommerce & Shopping
Norton Netprophet Noida,Business Activity
LINK ROAD PETROL FILLI,Travel
Futurestores,Ecommerce & Shopping
BLR URBAN FOOD MARKET,Food & Grocery
PAYPAL *SMYTTEN,Ecommerce & Shopping
Bumble BUMBLE,Ecommerce & Shopping
RAJMUDRA PETROLEUM,Travel
Akbar Online Booking Company Private Limited1,Travel
AYAAN FOODS,Food & Grocery
SRI SIDDI VINAYAKA WIN,Ecommerce & Shopping
N SOUK,Ecommerce & Shopping
NAVKAR BLOUSE MANDIR,Ecommerce & Shopping
THE BORIVLI,Social Work
ICICIPART,Finance
Leaf Era,Food & Grocery
IRCTC Mobile App,Travel
Head Infotech India Pv Mumbai,Ecommerce & Shopping
MBI-PROBILLER.COM,Other
JohnJacobs,Ecommerce & Shopping
Xtreme,Food & Grocery
JAGRUT PETROLIUM,Travel
EPOCH.COM,Finance
E M STEELE FILLING STATIOBANGALORE,Bills
BAJAJALZGEN,Finance
Iconic fitness,Health & Fitness
SHETKARI SAHAKARI,Travel
COFFEE BOX,Food & Grocery
cheapindianpanel.com,Ecommerce & Shopping
MSW*ATOMX CORPORATION,Business Activity
Emitra New Application for HDFC Bank NB,Finance
CHANDANA RETAIL OUTLET,Ecommerce & Shopping
ARVIND BEAUTY BRANDS,Ecommerce & Shopping
MPONLINE LIMITED,Education
AMRIK SUKHDEV,Food & Grocery
R B TRADERS,Ecommerce & Shopping
SHRI SADGURU,Social Work
I R ENTERPRISE,Travel
MAA SANTOSHI,Ecommerce & Shopping
Natures Basket Limited,Food & Grocery
IGL R K PURAM SEC III,Travel
GOOGLE *King,Entertainment
Sweet bite,Food & Grocery
REL RETAIL LTD-TR,Other
COOKIEMAN,Food & Grocery
CRB innovative solutions,Organization
shadow gaming,Entertainment
INOX LEISURE LIMITED,Entertainment
BAJAJFINANCE,Finance
Focus Denmed Private Limited,Legal Services
MAHALAXMI DISTRIBUTION,Ecommerce & Shopping
Vihaan Ventures,Food & Grocery
SHRI NARSING,Ecommerce & Shopping
ANIL FILLING STATION,Travel
Bharatkosh,Government Organization
VINAYAK PETROLEUM,Travel
DK EQUIPMENTS,Ecommerce & Shopping
PRATHAMRAJ WINES,Food & Grocery
DMART Dombivali,Other
HPCL GANGA FILLING STA,Travel
OKHLA SERVICE CENTRE,Travel
DIBUNIA,Ecommerce & Shopping
Vilaasita,Ecommerce & Shopping
NOBLE PLUS,Health & Fitness
JIO,Bills
ALKA AUTOMOBILES,Travel
LA PINOZ PIZZA,Food & Grocery
CHARMINAR,Other
Krish Yantras,Housing
MEGHDOOT AUTOMOBILES,Travel
HOTEL VIJAY,Travel
RV RETAIL,Ecommerce & Shopping
DDA Dwarka,Housing
LOKHANDWALA AUTOMOBILE,Travel
Christian Medical College,Education
Debshakti Agarbatti Enterprise,Ecommerce & Shopping
Visai Technologies,Ecommerce & Shopping
Souravi Enterprises,Ecommerce & Shopping
Times Internet Limited hire,Entertainment
INSTORE,Ecommerce & Shopping
MSW*MUKTA A2 CINEMAS L,Entertainment
PIONEER CATERING & FACILICHENNAI,Business Activity
AUTO CARE CENTRE1,Housing
Magneto Home Private Limited,Ecommerce & Shopping
Jas Tours And Travels,Travel
shri anantaay seva santhan,Social Work
FAMILY CHOICE,Other
SB ENTERPRICES,Business Activity
TriStar Allied Food Services Pvt Ltd,Food & Grocery
BPCL,Travel
Flipkart Internet Private560034,Other
BIR SINGH WINE AND BEE,Food & Grocery
XLRI ALUMNI ASSOCIATION,Education
BrightBrains,Education
JAGDISH ENERGY,Other
RSBROTHERS RETAIL IND,Ecommerce & Shopping
Aarana,Ecommerce & Shopping
Dyulok technologies private limited,Business Activity
Residencia Rentech Hospitalities India Private limited,Travel
BEIJING BITES,Food & Grocery
ENGLISH WINE SHOP,Food & Grocery
BPCL DESHMUKH PETROLEU,Travel
KSEB1,Bills
HPCL HP AUTO CARE CENT,Travel
VARASIDDHI WINES,Food & Grocery
SHREE VINAYAK PETROLEUIM NAVI MUMBAI,Travel
V CARE,Health & Fitness
Apollo Munich Health I,Finance
National Insurance Co Ltd,Finance
Shivani Handicraft jewels,Ecommerce & Shopping
MAHAONLINE LIMITED,Business Activity
BATRA BROTHERS,Ecommerce & Shopping
Abuse Lifestyle,Ecommerce & Shopping
SOWBHAGYA AND CO,Travel
WWW OLACABS COM,Travel
YASHODA SUPER,Health & Fitness
Kidzania,Entertainment
HPCL SATYASHANTI AUTO,Housing
ESSAR MANGALMURTI PETR,Travel
Alliance Business School,Education
SIRI TEA CENTRE,Food & Grocery
GILL AUTO SERVICE,Travel
YASH FILLING STATION,Travel
SREE ANNAMAR ENTERPRIS,Travel
Unicorn Empresa,Ecommerce & Shopping
AJFAN DATES AND NUTS,Food & Grocery
LIVING LIQUIDZ,Food & Grocery
PSU Society,Housing
R S Group,Bills
YouBella Jewellery & Lifestyle,Ecommerce & Shopping
IOCL COCO BEGUMPET,Travel
IOCL VILAS PETROLEUM,Travel
hungerbox PayTM,Food & Grocery
HOSTAYE TECHNOLOGIES PRIVATE LIMITED,Organization
KDDL Ltd,Ecommerce & Shopping
Vedanshi Ethnic Store,Ecommerce & Shopping
C M WINES,Food & Grocery
YAMUNA EXPRESSWAY IND DEV AUTH,Organization
DMART Panvel,Other
fashion on,Ecommerce & Shopping
Norka Roots,Government Organization
SHIVA HP CENTRE,Travel
RIGARO EWORKS LLP,Business Activity
Dots and Doodles Design,Ecommerce & Shopping
Foundation for Vital Healing,Health & Fitness
Fit Mentor,Ecommerce & Shopping
Myntra Designs Private,Ecommerce & Shopping
ESSAR SRINIDHI SERVICE,Travel
SAINIK SEVA,Travel
RAMKRISHNA BAZAR,Food & Grocery
SHANKARAPPA PETROLEUM,Travel
IT SOLUTION,Organization
DR LAL PATH LABS LIMIT,Health & Fitness
HOTEL ANAND,Travel
METRO FUEL POINT,Travel
BPCL PRATIK FUEL STATI,Travel
Lens Villa Enterprises,Ecommerce & Shopping
M/s Deepak Enterprises,Ecommerce & Shopping
BPCL SHRI SAMARTH PETR,Travel
VEDIKA M,Ecommerce & Shopping
SRI THIRUMURUGAN AGENCY,Travel
FRESHCO HYPERMARKET,Other
GAMMA GAANA LTD,Entertainment
EthniiChic,Ecommerce & Shopping
Shree Maruti Petroleum,Travel
JANTAFILLING STATION,Travel
PAYPAL *NIKI,Other
SG INTERNATIONAL,Education
SQUAD-ELECTRONICS,Ecommerce & Shopping
KYA Apparel LLP,Ecommerce & Shopping
Palanpur Hastakala Private Limited,Ecommerce & Shopping
siticablePayTM,Bills
MAXX HOSPITALITIES,Business Activity
MATHASHREE WINESTORE,Food & Grocery
CONNAUGHT PLAZA RESTAU,Food & Grocery
DHANRAJ MOTORS,Business Activity
Robokits India,Ecommerce & Shopping
LOTUS AUTOMOBILES,Travel
URJA FUELS LLP,Travel
MANTHARA KABAB MAGIC,Food & Grocery
GBS REDDI AND CO,Bills
Jaya Mitra,Ecommerce & Shopping
SHREE MAHALAKSHMI SWEE,Food & Grocery
TRANSACTION ANALYSTS,Business Activity
AKYA RETAIL Private Limited,Business Activity
Eduonix Learning Solutions Pvt Ltd,Education
MAXBRO AtoZ,Ecommerce & Shopping
MARUTI PETROLEUM,Travel
SOUTH INDIA SHOPPING MA,Ecommerce & Shopping
REIRA PETRO SERVICES P,Travel
Locanto,Business Activity
Reviwell,Health & Fitness
ganesh petroleum,Travel
Inditex Trent Retail India Ltd,Ecommerce & Shopping
Sagar Book Stall,Ecommerce & Shopping
SK Souq,Ecommerce & Shopping
GOPALAN CINEMAS,Entertainment
TRAVEL FOOD,Food & Grocery
Ravina Candle Industry,Ecommerce & Shopping
BHARTI AIRTEL LTD-MUMBAI MUMBAI,Bills
SHRUTHI BAR AND,Food & Grocery
MAKEMYTRIP (INDIA) PVT LT981170445,Travel
AUTHOR FORM,Ecommerce & Shopping
IK ONLINE STORE,Ecommerce & Shopping
FEDEX EXPRESS TRANSPOR,Business Activity
HYDERABAD GSM,Other
HIND PROVISION,Other
ZUDIO A UNIT OF TRENT,Ecommerce & Shopping
Primo Gift Pvt Ltd,Ecommerce & Shopping
CHENNAI FUELS,Travel
5303 D MART GAJUWAKA V,Other
MAA SANTOSHI ENTERPRIS,Business Activity
Deal Especial,Ecommerce & Shopping
SUPERINTENDENT OF,Government Organization
National Testing Agenc,Education
Girish Kulkarni,Entertainment
CHILLIES CATERERS,Business Activity
phone ji,Ecommerce & Shopping
CHAUDDHRY CNG,Travel
GOOGLE *PROXIMA BETA,Entertainment
Tyre Discounters Pvt Ltd,Business Activity
PUSHPAM COMPUTER & SOFTWARE PVT LTD,Organization
HOBIZ HOLIDAYS PRIVATE LIMITED,Travel
Freshmenu,Food & Grocery
STAR FUEL STATION,Travel
SAI ARCHNA ENTERPRISE,Housing
NEW U,Ecommerce & Shopping
PHONEPE UTILITY,Other
SHREE OM SAI AUTO CARE CETHANE,Travel
Primo Foods,Food & Grocery
MUTHOOT FINCORP LIMITE,Finance
InnerHeart.in,Travel
SHRAM ENTERPRISES,Ecommerce & Shopping
M BAAZAR,Ecommerce & Shopping
Shishir Palsapure,Health & Fitness
BMRCL INDIRA NAGAR,Travel
Technooworld The it store,Ecommerce & Shopping
MRIDHU ENTERPRISES,Finance
PREMCHAND RATANCHAND & COPUNE,Travel
shoppers homes,Ecommerce & Shopping
JAI SANTOSHI MATA WINE,Food & Grocery
FRESH MART,Other
RATNAA SHREE ANANDHAAS,Food & Grocery
E Techno systems,Entertainment
DIYCAM INDIA OPC PVT LTD,Organization
MYNTRA DESIGNS PVT LTD,Ecommerce & Shopping
PLEASANTRIP TRAVELS PRIVATE LIMITED,Travel
Airbnb Payments India Private Limited,Travel
OmSaifillingstation,Travel
FIVE BY SEVEN SOLUTIONS PVT LTD,Ecommerce & Shopping
THEOBROMA FOODS,Food & Grocery
SODEXO Net App India P,Business Activity
SATHE PATIL,Travel
SATYA NEER,Ecommerce & Shopping
Meenakshi Art Work,Entertainment
VEROMODA,Ecommerce & Shopping
VINILLA WINES,Food & Grocery
KULDEVI PETROLEUM,Travel
CITIZEN&IMM-EAPPS ENLI,Business Activity
StratLancer Consulting Pvt Ltd,Business Activity
SANKET PETROLEUM,Travel
GOOGLE *Moon Active,Business Activity
GIPONG,Entertainment
NATIONAL INSTITUTE OF TECHNOLOGY,Education
TILAK WINE CENTRE,Food & Grocery
Giriraj Enterprises,Ecommerce & Shopping
Sri Sai International Travels,Travel
MILLENNIEUM PREMIUM FUEL NAVI MUMBAI,Travel
Comfsa Technologies Private Limited,Organization
AVENUE SUPERMARTS LIMIT,Other
Radhesh Eon Technologies Pvt Ltd,Ecommerce & Shopping
MAHADEVAPURAM WINES,Food & Grocery
SETHI AUTO SERVICE STATIONEW DELHI,Travel
VISHANT,Entertainment
KRISHNAVARAM,Travel
ON DOOR CONCEPTS PVT,Other
I CARPORT,Travel
Bharat Kosh Cards,Finance
Ahal Creations,Ecommerce & Shopping
Provogue Instu,Ecommerce & Shopping
PAYPAL *BEARDO,Ecommerce & Shopping
Karunya Educational Trust,Education
just Good Food Co,Food & Grocery
India Farm Food Private Limited,Food & Grocery
Ayurvedaas,Health & Fitness
MACOFACE,Ecommerce & Shopping
Callido Learning LLP,Education
MS BANGALORE BAPTIST H,Health & Fitness
Chandra Venture,Entertainment
IOCL SANJEEV INDIAN OI,Travel
WINE SHOP,Food & Grocery
Online Recharge Services,Bills
TEJAS PETROLEUM,Travel
Selling Happinesss,Ecommerce & Shopping
SRI VISHNU GRAND,Food & Grocery
ATHWA AUTOMOBILES,Travel
Art Collection,Entertainment
UNITED COLORS,Ecommerce & Shopping
BARSHALA,Food & Grocery
Fabulous Threads Private Ltd,Ecommerce & Shopping
SREEJAS HOME FOODS,Food & Grocery
INDRA FILLING STATION,Travel
RAKESH FILLING STATION,Travel
ARK AQUATICS PRODUCTS,Ecommerce & Shopping
SmartCloud Technologies Pvt Ltd,Business Activity
MXS Moto Sport,Travel
SAI KRISHNA SERVICE STATIBANGALORE,Travel
The Decor Genie,Ecommerce & Shopping
Litejoy International Pvt Ltd,Ecommerce & Shopping
THE BIG CHILL,Food & Grocery
H P HIRA FUELS,Travel
GLOBAL SPIRIT,Food & Grocery
SPICEJET LIMITED,Travel
Fashionstore,Ecommerce & Shopping
AGGRIM SERVICES,Organization
R K SERVICE STN,Travel
TOMMY HILFIGER,Ecommerce & Shopping
Pine Apple Fashion plus,Ecommerce & Shopping
SAVITRIBAI PHULE PUNE,Education
SNEHA MIRIAM KURUVILLA,Ecommerce & Shopping
SMITAM,Organization
ABL Workspaces Private Limited,Housing
HEALTH HUB,Business Activity
Myshopbuy,Ecommerce & Shopping
Codeaamy,Business Activity
Rechargeitnow APP,Bills
PAAKASHALA,Food & Grocery
Linkyun Technology Pri,Entertainment
MANVEL PETROLEUM,Travel
PANTALOONS FASHION & RETAMUMBAI,Ecommerce & Shopping
Fitcore Tech Solutions Private Ltd,Business Activity
RAMANTHAPUR FIL,Travel
BABA WINES,Food & Grocery
AMAR JYOTHI - INDIAN OIL HYDERABAD,Travel
Sri Krishna Sweets Pvt Ltd,Food & Grocery
HACKING BLOGS,Business Activity
Amity University,Education
Aakarshan,Ecommerce & Shopping
KUBER HEALTHFOOD AND A,Business Activity
kop 24*7 events,Entertainment
SREE ARUN MEDICAL AND,Health & Fitness
Burrabazar,Ecommerce & Shopping
ca tree,Government Organization
Rithu Bejoy,Ecommerce & Shopping
Think & Learn Pvt Ltd,Education
PREM AGENCIES,Health & Fitness
KRITUNGA RESTAURANT,Food & Grocery
Amatullah creation,Ecommerce & Shopping
S K CNG,Travel
CADELL AUTO SERVICE,Housing
RNTECH SERVICES,Organization
Icognix Infomedia,Business Activity
SANTKRUPA PETROLEUM KS,Travel
Sarvaloka Services on call Pvt Ltd,Housing
PAYPAL *EASYTRIPPLA,Other
SREE SUPER BAZAAR,Food & Grocery
Cue Learn Pvt Ltd,Education
The Paper Company India LLP,Ecommerce & Shopping
FAMILY SHOPPING MART,Food & Grocery
nidhi collection,Ecommerce & Shopping
Baba Hotels Pvt Ltd,Travel
KANNU KI CHAI PVT LTD,Food & Grocery
RAZORPAY-E-COMMERCE,Other
IMPERIAL SQUARE MALL S,Other
SRI SAI FUEL STATION,Travel
Mrutyunjaya Dash,Ecommerce & Shopping
EARTHFOKUS,Ecommerce & Shopping
ICAI,Education
THEOS,Food & Grocery
INDIGO B2B,Travel
BCPROD kit,Ecommerce & Shopping
MAGSON RETAIL AND DIST,Food & Grocery
BUDH SINGH GULAB SINGH,Travel
Chief Minister Relief Fund,Government Organization
Dyson Technology India Private Limited,Ecommerce & Shopping
IOC PETROL BUNK,Travel
JUBILEE HILLS,Education
Fitser com,Organization
AXIS health assure,Finance
GOOGLE *hago,Entertainment
Shopepic,Ecommerce & Shopping
Farms’s Fresh,Food & Grocery
SOFTWARE TECHNOLOGY PARK OF INDIA,Housing
HPCL BSVR FUEL,Travel
PUNE BUND GARDEN,Other
shop Lazer,Ecommerce & Shopping
paytmmovies PayTM,Entertainment
Shree Balaji Enterprises,Ecommerce & Shopping
GOOGLE *Mobile Apps,Business Activity
HPCL T.P RATHNAIAH AND SOHYDERABAD,Travel
Wakefit Innovations Private Limited,Ecommerce & Shopping
BHAGWAN MAHAVEER JAIN,Health & Fitness
GOLDEN LEAF,Food & Grocery
CITYKART STORES PVT LT,Business Activity
Ambe Petroleum,Travel
SHAHID LT COL PRAKASH PATPUNE,Travel
MCGM,Government Organization
ASSOCIATED TRADING CO,Travel
Fonte Fashions India Pvt Ltd,Ecommerce & Shopping
SWR BENGALURU DIVISION,Government Organization
M S Ramaiah Hostels Engineering,Housing
JCPL FUEL STATION,Travel
Bajaj Allianz Life Insurance Company Limited,Finance
WWW NYKAA COM IBIBO,Ecommerce & Shopping
UKSRTC,Travel
Craftsloveindia,Ecommerce & Shopping
GANESH CATERS,Business Activity
DOLARE MOTOR STORES,Travel
GOOGLE *ALTBalaji,Entertainment
KOTHRUD PETROL,Travel
Jaipur Vidyut Vitran N,Bills
Harleys Corner,Food & Grocery
HPCL VASHI FUEL CENTRE,Travel
IBP AUTO SERVICES,Travel
DOLLY MOTORS,Travel
Plant Fresh,Food & Grocery
International Pilgrimage Revolution Pvt Ltd,Travel
Asha Verma,Ecommerce & Shopping
sanjay singh,Government Organization
Transformerz,Travel
Thirumala Super Services BANGALORE,Business Activity
pink store,Ecommerce & Shopping
HOTEL UTSAV,Travel
MOHANS SPIRITS,Food & Grocery
Tragopan Collective LLP,Travel
M CHINNAPPA AND SONS,Travel
Justdial Sales PG,Ecommerce & Shopping
Home Blend LLP,Food & Grocery
